"Board color",Length(mm),"Width (mm)",Quantity,Grain,"Edge Length","Edge Width",Potholes,"Edge Material (mm)"
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0
Select,,,,Grain,1,1,1,0


"Board color",Length(mm),"Width (mm)",Quantity
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
Plain,,,
